ID,GEO_REFERENCIA,DATA_NASCIMENTO,PROFISSAO,GENERO,ESTADO_CIVIL,VALOR_01,VALOR_02,VALOR_03,VALOR_04,PERFIL
25,41,1/30/85,ADMINISTRADOR,M,SOLTEIRO(A),2571.43,72503.05,0.00,4285.71,A
26,38,5/29/87,AUTÔNOMO,M,SOLTEIRO(A),1285.71,0.00,0.00,0.00,A
27,984,1/25/66,MÉDICO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),8571.43,0.00,0.00,0.00,A
28,881,1/15/96,ESTUDANTE,M,SOLTEIRO(A),285.71,1428.57,0.00,2857.14,B
29,65,4/26/92,AUTÔNOMO,F,SOLTEIRO(A),514.29,114.29,0.00,857.14,A
30,130,2/23/87,ENGENHEIRO,M,SOLTEIRO(A),1428.57,0.00,0.00,0.00,A
31,70,11/9/87,ANALISTA DE SISTEMAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2257.14,17142.86,1714.29,1768.11,B
32,31,12/25/86,AUTÔNOMO,M,SOLTEIRO(A),1000.00,571.43,0.00,2857.14,A
33,20,4/8/56,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),M,CASADO(A) COM BRASILEIRO(A) NATO(A),1714.29,17688.61,0.00,1613.60,A
34,902,4/10/94,RELAÇÕES PÚBLICAS,F,SOLTEIRO(A),571.49,0.00,0.00,2285.71,A
35,699,2/17/66,MILITAR REFORMADO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1714.29,1882.95,0.00,196.62,A
36,279,9/4/81,ENGENHEIRO,M,SOLTEIRO(A),2857.14,0.00,0.00,0.00,B
37,280,8/20/80,ENGENHEIRO,M,SOLTEIRO(A),6571.43,10142.86,565.47,0.00,C
38,375,10/31/83,ENGENHEIRO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3657.14,15469.43,0.00,30000.00,B
39,54,9/28/51,PROPRIETARIO DE MICROEMPRESAS,M,UNIAO ESTAVEL,2857.14,0.00,85714.29,4.19,B
40,744,10/4/96,ESTUDANTE,M,SOLTEIRO(A),214.29,0.00,0.00,0.00,A
41,227,6/15/78,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1428.57,0.00,0.00,0.00,A
42,570,7/1/80,PROFESSOR DE ENSINO SUPERIOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2571.43,0.00,0.00,0.00,D
43,25,8/2/63,MÉDICO,F,DIVORCIADO(A),2285.71,17566.07,8730.31,53.30,B
44,706,5/10/85,SERVIDOR PÚBLICO FEDERAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3714.29,8991.16,0.00,0.00,A
45,28,10/30/61,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),M,CASADO(A) COM BRASILEIRO(A) NATO(A),714.29,0.00,0.00,0.00,A
46,92,5/18/91,BOLSISTA,M,SOLTEIRO(A),795.60,0.00,0.00,0.00,A
47,608,6/15/73,ADMINISTRADOR,M,SOLTEIRO(A),714.29,140000.00,40788.57,235.48,B
48,50,6/8/76,AUTÔNOMO,F,SOLTEIRO(A),571.43,4571.43,0.00,371.43,A
49,306,11/27/85,EMPRESÁRIO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2857.14,0.00,0.00,0.00,A
50,97,5/31/85,ANALISTA DE SISTEMAS,F,SOLTEIRO(A),1426.61,1426.61,0.00,0.00,A
51,826,1/5/83,BANCARIO E ECONOMIÁRIO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1714.29,28571.43,0.00,5714.29,B
52,50,9/10/85,BANCARIO E ECONOMIÁRIO,M,DIVORCIADO(A),1428.57,1428.57,5714.29,11428.57,B
53,51,2/29/88,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2771.43,4285.71,0.00,0.00,B
54,207,1/16/91,TÉCNICO DE QUÍMICA,M,SOLTEIRO(A),1142.86,0.00,0.00,0.00,A
55,45,8/29/87,SERVIDOR PÚBLICO FEDERAL,F,SOLTEIRO(A),1542.86,29428.57,0.00,0.00,A
56,44,10/24/87,ENGENHEIRO,M,SOLTEIRO(A),2828.57,32571.43,34285.71,0.00,B
57,418,8/14/82,ADMINISTRADOR,M,SOLTEIRO(A),3428.57,85714.29,46566.90,555.53,B
58,224,4/21/66,PROPRIETÁRIO DE ESTABELECIMENTO DE PREST DE SERV,F,SOLTEIRO(A),2428.57,0.00,0.00,0.00,A
59,227,2/17/90,MILITAR EM GERAL,F,SOLTEIRO(A),1142.86,0.00,0.00,0.00,B
60,259,1/31/81,ENFERMEIRO E NUTRICIONISTA,F,SOLTEIRO(A),285.71,57986.28,0.00,60000.00,B
61,29,4/3/89,BANCARIO E ECONOMIÁRIO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2200.00,0.00,0.00,0.00,B
62,50,9/16/86,EMPRESÁRIO,M,UNIAO ESTAVEL,285.71,0.00,0.00,0.00,B
63,690,1/24/79,SERVIDOR PÚBLICO ESTADUAL,F,CASADO(A) COM BRASILEIRO(A) NATO(A),3428.57,24285.71,0.00,0.00,A
64,259,4/23/58,TRABALHADOR METALÚRGICO E SIDERÚRGICO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2228.57,76000.00,0.00,0.00,B
65,45,10/15/77,ENGENHEIRO,M,DIVORCIADO(A),4371.43,0.00,0.00,54500.00,A
66,685,10/11/84,MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA,M,CASADO(A) COM BRASILEIRO(A) NATO(A),660.00,660.00,209.93,1028.60,A
67,798,11/20/89,SERVIDOR PÚBLICO FEDERAL,M,SOLTEIRO(A),721.47,0.00,0.00,0.00,A
68,29,10/28/88,AUTÔNOMO,M,SOLTEIRO(A),1000.00,0.00,0.00,0.00,A
69,717,9/1/58,MÉDICO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),8571.43,0.00,0.00,8571.43,A
70,133,10/8/93,ESTUDANTE,M,SOLTEIRO(A),380.94,8.70,0.00,1.25,A
71,220,4/16/80,ECONOMISTA,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1428.57,57142.86,0.00,0.00,B
72,151,6/26/89,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),657.14,0.00,0.00,0.00,A
73,227,6/20/74,PILOTO DE AERONAVES,M,CASADO(A) COM BRASILEIRO(A) NATO(A),0.00,1428.57,0.00,0.00,A
74,43,4/3/91,ENGENHEIRO,M,SOLTEIRO(A),2342.86,0.00,0.00,0.00,B
75,243,7/1/86,SERVIDOR PÚBLICO FEDERAL,M,SOLTEIRO(A),1604.24,11428.57,0.00,0.00,B
76,136,2/25/82,ENGENHEIRO,M,SOLTEIRO(A),2714.29,27844.60,0.00,230.79,A
77,99,5/27/59,ADVOGADO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),285.71,0.00,22.94,0.00,C
78,870,12/30/70,ADVOGADO,F,CASADO(A) COM BRASILEIRO(A) NATO(A),1428.57,14285.71,22857.14,37142.86,B
79,507,7/6/90,PROFESSOR DE PRIMEIRO E SEGUNDO GRAUS,F,SOLTEIRO(A),428.57,0.00,0.00,0.00,A
80,130,2/16/86,ESTUDANTE,M,SOLTEIRO(A),342.86,4536.82,5714.29,857.14,D
81,24,5/30/94,PUBLICITÁRIO,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
82,50,9/12/59,ADMINISTRADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),14285.71,685714.29,0.00,57142.86,B
83,41,4/26/88,SECURITÁRIO,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
84,25,1/20/71,ANALISTA DE SISTEMAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2571.43,0.00,0.00,1428.57,B
85,729,2/20/88,SERVIDOR PÚBLICO FEDERAL,M,SOLTEIRO(A),1228.57,0.00,0.00,0.00,B
86,207,7/31/60,AUTÔNOMO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),571.43,57142.86,42857.14,0.00,A
87,640,12/23/86,SERVIDOR PÚBLICO MUNICIPAL,M,SOLTEIRO(A),316.34,272.93,0.00,0.00,A
88,71,5/24/90,ADMINISTRADOR,F,SOLTEIRO(A),1714.29,0.00,0.00,0.00,A
89,45,3/30/82,ENGENHEIRO,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
90,140,7/12/83,MÉDICO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),5142.86,32624.23,6000.00,51428.57,B
91,858,1/5/77,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),3428.57,0.00,85714.29,0.00,A
92,13,12/6/78,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),5714.29,185714.29,0.00,100000.00,A
93,360,11/2/84,ENGENHEIRO,M,SOLTEIRO(A),4285.71,0.00,0.00,0.00,A
94,706,11/24/80,SERVIDOR PÚBLICO FEDERAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),5714.29,40000.00,8571.43,48571.43,B
95,607,10/15/80,ADMINISTRADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1000.00,0.00,0.00,0.00,A
96,55,10/7/89,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,SOLTEIRO(A),492.86,0.00,0.00,0.00,A
97,706,4/8/81,SERVIDOR PÚBLICO FEDERAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2857.14,42857.14,2857.14,571.43,A
98,723,11/24/86,AUTÔNOMO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1428.57,0.00,0.00,0.00,A
99,858,1/4/87,AUTÔNOMO,M,VIUVO(A),714.29,0.00,0.00,0.00,A
100,57,10/27/77,PUBLICITÁRIO,M,DIVORCIADO(A),600.00,0.00,0.00,0.00,A
101,271,3/14/88,ADMINISTRADOR,M,SOLTEIRO(A),2421.14,31711.18,0.00,0.00,A
102,860,6/9/96,ESTUDANTE,M,SOLTEIRO(A),342.86,0.00,0.00,0.00,A
103,132,10/24/86,ENGENHEIRO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),800.00,4028.56,0.00,3433.35,A
104,742,5/31/82,AUTÔNOMO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),5714.29,17142.86,8571.43,25714.29,A
105,13,6/15/85,JORNALISTA,F,SOLTEIRO(A),1714.29,3425.74,0.00,0.00,A
106,693,7/21/90,ESTUDANTE,M,SOLTEIRO(A),285.71,0.00,0.00,0.00,A
107,130,10/19/79,PROFESSOR DE PRIMEIRO E SEGUNDO GRAUS,M,DIVORCIADO(A),3285.71,0.00,1428.57,2285.71,B
108,301,10/24/88,SERVIDOR PÚBLICO MUNICIPAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1071.43,0.00,0.00,14285.71,A
109,60,8/30/78,EMPRESÁRIO,F,CASADO(A) COM ESTRANGEIRO(A),714.29,0.00,0.00,0.00,A
110,131,6/10/93,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),481.80,0.00,0.00,0.00,A
111,14,1/4/79,AUTÔNOMO,F,SOLTEIRO(A),2514.29,0.00,0.00,0.00,A
112,650,12/19/97,ESTUDANTE,M,SOLTEIRO(A),1428.57,15850.91,0.00,2.10,B
113,56,11/15/80,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),3000.00,85714.29,28571.43,4273.18,B
114,23,4/10/90,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE PASSAGEIROS,M,SOLTEIRO(A),1085.71,0.00,0.00,0.00,A
115,80,7/26/87,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,B
116,64,9/20/78,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
117,858,9/21/73,SERVIDOR PÚBLICO FEDERAL,M,SOLTEIRO(A),2285.71,0.00,0.00,0.00,A
118,41,7/15/78,ENGENHEIRO,M,UNIAO ESTAVEL,2571.43,0.00,0.00,0.00,A
119,708,10/27/88,ADVOGADO,M,SOLTEIRO(A),2428.57,1045.93,0.00,1171.43,A
120,62,6/16/86,MILITAR EM GERAL,M,SOLTEIRO(A),542.86,0.00,0.00,0.00,A
121,706,5/19/79,SERVIDOR PÚBLICO FEDERAL,F,CASADO(A) COM BRASILEIRO(A) NATO(A),8000.00,57142.86,0.00,0.00,A
122,77,11/6/93,ESTUDANTE,F,SOLTEIRO(A),300.00,0.00,0.00,0.00,A
123,134,5/27/76,AUTÔNOMO,F,SOLTEIRO(A),1714.29,0.00,0.00,0.00,A
124,46,10/23/72,ANALISTA DE SISTEMAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2285.71,5714.29,4285.71,11428.57,A
125,123,10/14/95,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,SOLTEIRO(A),371.43,0.00,0.00,0.00,A
126,41,8/22/78,ANALISTA DE SISTEMAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3428.57,867.88,0.00,20.07,A
127,97,11/11/88,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,UNIAO ESTAVEL,710.93,0.00,0.00,0.00,A
128,913,11/13/81,ESTUDANTE,M,CASADO(A) COM BRASILEIRO(A) NATO(A),428.57,0.00,1428.57,285.71,B
129,384,9/20/89,ESTUDANTE,M,SOLTEIRO(A),285.71,0.00,0.00,0.00,A
130,13,6/14/94,PUBLICITÁRIO,F,SOLTEIRO(A),571.43,519.43,0.00,0.00,A
131,85,2/24/98,AUTÔNOMO,M,SOLTEIRO(A),257.14,57.14,142.86,200.00,A
132,45,5/8/86,ADMINISTRADOR,M,SOLTEIRO(A),2714.29,22885.88,0.00,1085.71,A
133,53,7/21/86,AUTÔNOMO,M,SOLTEIRO(A),457.14,342.86,714.29,14285.71,A
134,130,11/18/82,ADMINISTRADOR,M,SOLTEIRO(A),5625.86,0.00,5714.29,0.00,B
135,252,4/7/96,AUTÔNOMO,M,SOLTEIRO(A),485.71,285.71,200.00,0.00,B
136,222,11/10/83,ENGENHEIRO,M,SOLTEIRO(A),4285.71,171428.57,0.00,0.00,B
137,29,3/15/61,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),F,SOLTEIRO(A),433.43,0.00,0.00,1142.86,C
138,40,8/15/79,ADMINISTRADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3200.00,9714.29,33.43,15428.57,B
139,97,6/30/88,BANCARIO E ECONOMIÁRIO,M,SOLTEIRO(A),3428.57,11428.57,2857.14,14285.71,B
140,57,1/7/94,AUTÔNOMO,M,SOLTEIRO(A),1371.43,0.00,0.00,0.00,B
141,303,11/17/87,ENGENHEIRO,F,SOLTEIRO(A),1714.29,14075.17,0.00,2215.05,B
142,205,10/13/75,ANALISTA DE SISTEMAS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),6571.43,0.00,0.00,89714.29,B
143,13,9/8/87,BANCARIO E ECONOMIÁRIO,M,SOLTEIRO(A),3000.00,30000.00,1428.57,31428.57,B
144,147,5/28/82,MÉDICO,F,SOLTEIRO(A),2285.71,0.00,0.00,2857.14,A
145,86,9/2/74,SERVIDOR PÚBLICO ESTADUAL,M,DIVORCIADO(A),1142.86,1142.86,0.00,0.00,A
146,310,3/18/84,PUBLICITÁRIO,F,CASADO(A) COM BRASILEIRO(A) NATO(A),1857.14,0.00,0.00,0.00,A
147,129,8/19/92,PUBLICITÁRIO,M,SOLTEIRO(A),714.29,14.29,8.57,14.29,A
148,29,6/29/83,PUBLICITÁRIO,M,SOLTEIRO(A),1285.71,0.00,0.00,0.00,A
149,53,11/20/81,AUTÔNOMO,F,UNIAO ESTAVEL,457.14,57142.86,0.00,5142.86,A
150,301,2/20/87,SERVIDOR PÚBLICO FEDERAL,F,SOLTEIRO(A),7142.86,28571.43,0.00,2857.14,A
151,950,12/17/89,AUTÔNOMO,M,SOLTEIRO(A),571.43,0.00,0.00,0.00,A
152,80,12/18/91,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1142.86,0.00,0.00,0.00,A
153,375,9/18/85,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2342.86,0.00,3098.59,8571.43,C
154,130,9/14/79,CONTADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3571.43,0.00,0.00,57142.86,A
155,880,3/6/90,BOLSISTA,F,CASADO(A) COM BRASILEIRO(A) NATO(A),571.43,0.00,0.00,3.04,B
156,222,1/31/62,PSICÓLOGO,F,UNIAO ESTAVEL,1714.29,0.00,0.00,0.00,A
157,14,7/24/82,AUTÔNOMO,F,SOLTEIRO(A),2857.14,2885.43,0.00,11709.59,A
158,39,8/22/83,AGENTE DE VIAGEM E GUIA DE TURISMO,M,SOLTEIRO(A),714.29,5964.74,0.00,0.00,A
159,129,5/9/77,PROPRIETÁRIO DE ESTABELECIMENTO DE PREST DE SERV,M,DIVORCIADO(A),2057.14,0.00,0.00,0.00,B
160,81,10/27/95,ESTUDANTE,F,SOLTEIRO(A),214.29,0.00,0.00,0.00,A
161,742,7/10/86,SERVIDOR PÚBLICO FEDERAL,M,SOLTEIRO(A),1142.86,0.00,0.00,0.00,A
162,303,1/6/87,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1485.71,0.00,0.00,8571.43,B
163,222,2/27/84,ANALISTA DE SISTEMAS,M,DIVORCIADO(A),3000.00,0.00,0.00,0.00,A
164,180,1/27/95,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),314.29,0.00,0.00,0.00,A
165,690,9/29/83,ENGENHEIRO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1142.86,0.00,0.00,0.00,A
166,339,3/15/88,ESTUDANTE,F,SOLTEIRO(A),428.57,0.00,0.00,0.00,A
167,133,11/20/86,ENGENHEIRO,M,SOLTEIRO(A),1857.14,1030.01,1016.46,1428.57,A
168,29,6/22/87,ESTUDANTE,M,SOLTEIRO(A),214.29,0.00,0.00,0.00,A
169,650,11/3/50,MILITAR REFORMADO,M,DIVORCIADO(A),1428.57,285.71,0.00,285.71,A
170,291,7/22/67,BANCARIO E ECONOMIÁRIO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),4285.71,65714.29,0.00,0.00,A
171,71,8/24/81,PROPRIETARIO DE MICROEMPRESAS,M,DIVORCIADO(A),1428.57,0.00,0.00,11428.57,B
172,133,3/30/79,AUTÔNOMO,F,CASADO(A) COM BRASILEIRO(A) NATO(A),571.43,0.00,0.00,0.00,A
173,732,2/26/81,AUTÔNOMO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2142.86,0.00,0.00,0.00,A
174,45,11/13/85,CONTADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2857.14,10835.73,0.00,12000.00,B
175,213,3/21/80,AUTÔNOMO,M,UNIAO ESTAVEL,1428.57,0.00,0.00,28571.43,D
176,721,6/2/86,ANALISTA DE SISTEMAS,M,UNIAO ESTAVEL,2571.43,0.00,0.00,0.00,A
177,357,1/30/88,ADMINISTRADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1188.57,0.00,0.00,0.00,A
178,898,2/14/92,EMPRESÁRIO,M,SOLTEIRO(A),1114.29,0.00,0.00,0.00,A
179,887,8/2/84,AUTÔNOMO,F,UNIAO ESTAVEL,571.43,0.00,0.00,0.00,C
180,46,7/17/70,PILOTO DE AERONAVES,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2857.14,22857.14,0.00,0.00,C
181,510,6/8/87,ENGENHEIRO,F,CASADO(A) COM BRASILEIRO(A) NATO(A),3000.00,14285.71,0.00,0.00,A
182,699,8/23/93,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1228.57,0.00,0.00,2857.14,A
183,303,11/12/82,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),4000.00,0.00,0.00,0.00,B
184,301,10/23/71,ADMINISTRADOR,M,SOLTEIRO(A),4670.48,42857.14,0.00,80.00,B
185,950,8/25/82,ENGENHEIRO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2428.57,285.71,0.00,0.00,A
186,58,8/30/84,SERVIDOR PÚBLICO ESTADUAL,F,SOLTEIRO(A),474.86,0.00,0.00,0.00,A
187,14,9/7/83,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2428.57,34006.15,0.00,57142.86,B
188,247,3/21/87,ESTUDANTE,M,SOLTEIRO(A),285.71,0.00,0.00,0.00,A
189,826,7/28/88,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1200.00,0.00,0.00,1428.57,A
190,64,5/30/84,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1428.57,0.00,0.00,15.81,A
191,65,4/5/84,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),1428.57,0.00,0.00,0.00,A
192,13,8/7/76,ADMINISTRADOR,M,DIVORCIADO(A),2285.71,0.00,0.00,0.00,A
193,63,5/26/88,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,F,CASADO(A) COM BRASILEIRO(A) NATO(A),391.43,0.00,0.00,0.00,A
194,289,12/10/88,ENGENHEIRO,M,SOLTEIRO(A),1885.71,0.00,0.00,0.00,A
195,650,11/9/83,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),552.03,0.00,0.00,0.00,A
196,833,3/16/78,SERVIDOR PÚBLICO FEDERAL,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1428.57,25714.29,0.00,0.00,B
197,919,10/1/94,JORNALISTA,F,SOLTEIRO(A),342.86,0.00,0.00,0.00,A
198,97,8/25/91,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1143.43,1143.43,0.00,0.00,B
199,219,4/5/79,ESTUDANTE,M,CASADO(A) COM BRASILEIRO(A) NATO(A),428.57,0.00,0.00,0.00,B
200,690,10/11/85,ENGENHEIRO,M,UNIAO ESTAVEL,2000.00,1142.86,0.00,800.00,A
201,129,10/18/85,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,SOLTEIRO(A),600.00,0.00,0.00,28.57,A
202,243,12/11/84,TRABALHADOR DE CONSTRUÇÃO CIVIL,F,SOLTEIRO(A),1628.57,0.00,0.00,0.00,A
203,76,2/13/86,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,M,SOLTEIRO(A),1057.14,0.00,0.00,0.00,A
204,46,11/28/80,ENGENHEIRO,M,SOLTEIRO(A),3428.57,0.00,0.00,0.00,A
205,716,6/19/86,ADVOGADO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),800.00,7359.39,0.00,1428.57,A
206,31,3/10/87,ESTUDANTE,M,SOLTEIRO(A),228.57,3085.71,0.00,714.29,A
207,427,10/14/80,ENGENHEIRO,M,CASADO(A) COM BRASILEIRO(A) NATO(A),2285.71,857.14,0.00,0.00,A
208,33,6/23/83,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),3428.57,0.00,0.00,6857.14,A
209,804,5/10/79,SERVIDOR PÚBLICO MUNICIPAL,M,UNIAO ESTAVEL,2285.71,57142.86,2857.14,1428.57,A
210,62,7/9/87,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),2857.14,5714.29,0.00,0.00,A
211,95,11/1/89,ANALISTA DE SISTEMAS,M,SOLTEIRO(A),857.14,0.00,0.00,0.00,B
212,131,1/20/93,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,F,SOLTEIRO(A),567.75,0.00,0.00,0.00,A
213,313,10/24/72,VETERINÁRIO E ZOOTECNISTA,M,CASADO(A) COM BRASILEIRO(A) NATO(A),3428.57,3428.57,571.43,57142.86,B
214,250,5/30/88,SERVIDOR PÚBLICO MUNICIPAL,M,SOLTEIRO(A),409.16,4166.43,0.00,5457.25,A
215,855,1/10/81,SERVIDOR PÚBLICO FEDERAL,M,DIVORCIADO(A),714.29,0.00,0.00,0.00,B
216,37,8/8/87,ENGENHEIRO,M,SOLTEIRO(A),1242.86,14985.68,0.00,1.75,A
217,950,9/8/68,ADMINISTRADOR,M,CASADO(A) COM BRASILEIRO(A) NATO(A),1142.86,0.00,0.00,0.00,B
218,358,6/5/86,ADMINISTRADOR,F,CASADO(A) COM BRASILEIRO(A) NATO(A),1724.57,0.00,0.00,0.00,A
219,41,9/13/88,ADVOGADO,M,SOLTEIRO(A),2000.00,0.00,0.00,0.00,A
220,68,12/12/80,EMPRESÁRIO,F,SOLTEIRO(A),1857.14,857.14,142.86,1.69,C
221,60,11/4/87,SECURITÁRIO,M,SOLTEIRO(A),1142.86,0.00,0.00,14285.71,A
